12.44 nsec,88.91 mV,2.193  V
12.49 nsec,88.17 mV,2.203  V
12.54 nsec,77.86 mV,2.215  V
12.59 nsec,61.26 mV,2.227  V
12.64 nsec,46.12 mV,2.239  V
12.69 nsec,34.16 mV,2.250  V
12.74 nsec,24.68 mV,2.255  V
12.79 nsec,17.69 mV,2.249  V
12.84 nsec,12.53 mV,2.231  V
12.89 nsec,9.493 mV,2.209  V
12.94 nsec,8.158 mV,2.196  V
12.99 nsec,7.576 mV,2.191  V
13.04 nsec,8.067 mV,2.189  V
13.09 nsec,9.460 mV,2.191  V
13.14 nsec,9.788 mV,2.197  V
13.19 nsec,6.344 mV,2.204  V
13.24 nsec,-347.4 uV,2.209  V
13.29 nsec,-10.86 mV,2.214  V
13.34 nsec,-25.17 mV,2.218  V
13.39 nsec,-37.68 mV,2.221  V
13.44 nsec,-44.01 mV,2.218  V
13.49 nsec,-42.34 mV,2.210  V
13.54 nsec,-30.82 mV,2.195  V
13.59 nsec,-14.58 mV,2.172  V
13.64 nsec,-262.5 uV,2.144  V
13.68 nsec,9.332 mV,2.117  V
13.73 nsec,17.08 mV,2.076  V
13.78 nsec,21.86 mV,2.025  V
13.83 nsec,24.52 mV,1.969  V
13.88 nsec,25.68 mV,1.901  V
13.93 nsec,25.99 mV,1.794  V
13.98 nsec,25.79 mV,1.597  V
14.03 nsec,25.33 mV,1.250  V
14.08 nsec,24.72 mV,750.4 mV
14.13 nsec,24.04 mV,327.5 mV
14.18 nsec,23.36 mV,121.8 mV
14.22 nsec,22.69 mV,46.47 mV
14.26 nsec,22.06 mV,19.92 mV
14.29 nsec,21.59 mV,12.70 mV
14.31 nsec,21.14 mV,8.430 mV
14.33 nsec,20.75 mV,5.818 mV
14.38 nsec,19.96 mV,2.309 mV
14.43 nsec,19.22 mV,461.3 uV
14.48 nsec,18.48 mV,-713.7 uV
14.53 nsec,17.67 mV,-2.027 mV
14.58 nsec,16.75 mV,-3.451 mV
14.63 nsec,15.65 mV,-4.846 mV
14.68 nsec,14.37 mV,-5.289 mV
14.73 nsec,12.93 mV,-3.410 mV
14.78 nsec,11.67 mV,-453.5 uV
14.83 nsec,11.12 mV,728.4 uV
14.88 nsec,11.73 mV,940.5 uV
14.93 nsec,14.18 mV,1.889 mV
14.98 nsec,19.38 mV,2.249 mV
15.03 nsec,26.68 mV,2.308 mV
15.08 nsec,33.16 mV,2.330 mV
15.13 nsec,35.56 mV,1.765 mV
15.18 nsec,33.40 mV,1.706 mV
15.23 nsec,29.94 mV,1.429 mV
15.28 nsec,26.44 mV,953.3 uV
15.33 nsec,22.84 mV,1.114 mV
15.38 nsec,20.25 mV,2.217 mV
15.43 nsec,18.88 mV,3.633 mV
15.48 nsec,18.52 mV,4.335 mV
15.53 nsec,18.70 mV,5.374 mV
15.58 nsec,19.51 mV,4.547 mV
15.63 nsec,21.65 mV,1.205 mV
15.68 nsec,25.31 mV,-2.146 mV
15.73 nsec,29.77 mV,-5.394 mV
15.78 nsec,34.52 mV,-6.727 mV
15.83 nsec,38.98 mV,-3.912 mV
15.88 nsec,41.94 mV,-1.530 mV
15.93 nsec,43.09 mV,-590.8 uV
15.98 nsec,42.90 mV,474.3 uV
16.03 nsec,57.13 mV,465.9 uV
16.08 nsec,110.8 mV,576.1 uV
16.13 nsec,203.5 mV,498.1 uV
16.18 nsec,317.3 mV,407.2 uV
16.23 nsec,444.6 mV,367.9 uV
16.28 nsec,583.0 mV,269.8 uV
16.33 nsec,729.7 mV,200.0 uV
16.38 nsec,881.6 mV,132.1 uV
16.43 nsec,1.036  V,93.68 uV
16.48 nsec,1.189  V,46.18 uV
16.53 nsec,1.331  V,-45.54 uV
16.58 nsec,1.466  V,-156.1 uV
16.63 nsec,1.599  V,-239.6 uV
16.68 nsec,1.736  V,-300.4 uV
